time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-05 00:00:00+00:00,,,7,3
2024-10-06 00:00:00+00:00,5.0,3.0,3,2
2024-10-07 00:00:00+00:00,5.0,3.0,15,12
2024-10-08 00:00:00+00:00,4.0,3.0,10,5
2024-10-09 00:00:00+00:00,6.0,3.0,28,9
2024-10-10 00:00:00+00:00,5.0,4.0,8,8
2024-10-11 00:00:00+00:00,2.0,1.0,6,5
2024-10-12 00:00:00+00:00,4.0,3.0,13,9
2024-10-13 00:00:00+00:00,5.0,3.0,5,3
2024-10-14 00:00:00+00:00,3.0,2.0,18,16
2024-10-15 00:00:00+00:00,5.0,4.0,9,8
2024-10-16 00:00:00+00:00,4.0,3.0,7,6
2024-10-17 00:00:00+00:00,5.0,4.0,10,5
2024-10-18 00:00:00+00:00,2.0,1.0,14,13
