time_iso8601,stars_cumulative
2023-08-14 00:00:00+00:00,1
2023-09-05 00:00:00+00:00,2
2023-09-26 00:00:00+00:00,3
2023-10-18 00:00:00+00:00,4
2023-11-28 00:00:00+00:00,5
2024-01-09 00:00:00+00:00,6
2024-01-22 00:00:00+00:00,7
2024-01-23 00:00:00+00:00,8
2024-02-08 00:00:00+00:00,9
2024-03-05 00:00:00+00:00,10
2024-03-09 00:00:00+00:00,11
2024-03-26 00:00:00+00:00,12
2024-04-16 00:00:00+00:00,13
2024-04-19 00:00:00+00:00,14
2024-04-23 00:00:00+00:00,15
2024-04-29 00:00:00+00:00,16
2024-04-30 00:00:00+00:00,17
2024-05-06 00:00:00+00:00,19
2024-05-11 00:00:00+00:00,20
2024-05-18 00:00:00+00:00,21
2024-05-28 00:00:00+00:00,22
2024-06-14 00:00:00+00:00,23
2024-07-11 00:00:00+00:00,24
2024-07-28 00:00:00+00:00,26
2024-09-09 00:00:00+00:00,28
2024-09-27 00:00:00+00:00,29
2024-10-06 00:00:00+00:00,30
