time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-05 00:00:00+00:00,4,3,7,3
2024-10-06 00:00:00+00:00,5,3,3,2
2024-10-07 00:00:00+00:00,5,3,15,12
2024-10-08 00:00:00+00:00,4,3,10,5
2024-10-09 00:00:00+00:00,6,3,28,9
2024-10-10 00:00:00+00:00,5,4,8,8
2024-10-11 00:00:00+00:00,2,1,6,5
2024-10-12 00:00:00+00:00,4,3,13,9
2024-10-13 00:00:00+00:00,5,3,5,3
2024-10-14 00:00:00+00:00,3,2,18,16
2024-10-15 00:00:00+00:00,5,4,9,8
2024-10-16 00:00:00+00:00,4,3,7,6
2024-10-17 00:00:00+00:00,5,4,10,5
2024-10-18 00:00:00+00:00,2,1,14,13
2024-10-19 00:00:00+00:00,4,3,10,10
2024-10-20 00:00:00+00:00,3,1,9,7
2024-10-21 00:00:00+00:00,4,3,3,3
2024-10-22 00:00:00+00:00,3,2,8,7
2024-10-23 00:00:00+00:00,4,3,2,2
2024-10-24 00:00:00+00:00,4,3,11,6
2024-10-25 00:00:00+00:00,4,3,15,9
