time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,46,11,1,1
2024-10-05 00:00:00+00:00,166,30,0,0
2024-10-06 00:00:00+00:00,83,10,10,1
2024-10-07 00:00:00+00:00,147,25,3,2
2024-10-08 00:00:00+00:00,118,16,0,0
2024-10-09 00:00:00+00:00,95,9,0,0
2024-10-10 00:00:00+00:00,101,14,0,0
2024-10-11 00:00:00+00:00,145,23,0,0
2024-10-12 00:00:00+00:00,171,24,0,0
2024-10-13 00:00:00+00:00,84,14,0,0
2024-10-14 00:00:00+00:00,100,13,2,1
2024-10-15 00:00:00+00:00,269,35,159,1
2024-10-16 00:00:00+00:00,184,22,0,0
2024-10-17 00:00:00+00:00,250,31,0,0
2024-10-18 00:00:00+00:00,177,23,14,1
2024-10-19 00:00:00+00:00,168,19,0,0
2024-10-20 00:00:00+00:00,89,3,0,0
