time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,5,5,0,0
2024-10-05 00:00:00+00:00,12,9,0,0
2024-10-06 00:00:00+00:00,11,7,0,0
2024-10-07 00:00:00+00:00,14,9,0,0
2024-10-08 00:00:00+00:00,20,16,0,0
2024-10-09 00:00:00+00:00,19,15,1,1
2024-10-10 00:00:00+00:00,16,12,1,1
2024-10-11 00:00:00+00:00,13,9,0,0
2024-10-12 00:00:00+00:00,17,13,0,0
2024-10-13 00:00:00+00:00,9,6,0,0
2024-10-14 00:00:00+00:00,13,9,13,1
2024-10-15 00:00:00+00:00,21,15,20,3
2024-10-16 00:00:00+00:00,22,16,0,0
2024-10-17 00:00:00+00:00,23,18,0,0
2024-10-18 00:00:00+00:00,21,17,1,1
2024-10-19 00:00:00+00:00,20,16,0,0
2024-10-20 00:00:00+00:00,17,11,0,0
2024-10-21 00:00:00+00:00,19,13,0,0
2024-10-22 00:00:00+00:00,20,14,0,0
2024-10-23 00:00:00+00:00,23,17,1,1
2024-10-24 00:00:00+00:00,19,14,0,0
2024-10-25 00:00:00+00:00,21,15,0,0
2024-10-26 00:00:00+00:00,15,11,0,0
2024-10-27 00:00:00+00:00,2,2,0,0
