time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-06 00:00:00+00:00,2,1,0,0
2024-10-07 00:00:00+00:00,15,4,0,0
2024-10-08 00:00:00+00:00,9,3,1,1
2024-10-09 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,1,1,0,0
2024-10-11 00:00:00+00:00,1,1,0,0
2024-10-13 00:00:00+00:00,2,1,0,0
2024-10-14 00:00:00+00:00,7,2,0,0
2024-10-15 00:00:00+00:00,2,2,0,0
2024-10-16 00:00:00+00:00,1,1,0,0
2024-10-17 00:00:00+00:00,13,2,0,0
2024-10-18 00:00:00+00:00,1,1,9,1
2024-10-20 00:00:00+00:00,2,1,0,0
2024-10-21 00:00:00+00:00,14,3,0,0
2024-10-22 00:00:00+00:00,9,3,0,0
2024-10-23 00:00:00+00:00,14,3,0,0
