time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-05 00:00:00+00:00,20,9,76,3
2024-10-06 00:00:00+00:00,36,9,51,2
2024-10-07 00:00:00+00:00,1,1,0,0
2024-10-08 00:00:00+00:00,0,0,2,1
2024-10-12 00:00:00+00:00,0,0,3,1
2024-10-13 00:00:00+00:00,6,1,0,0
2024-10-14 00:00:00+00:00,1,1,6,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,3,1
2024-10-18 00:00:00+00:00,0,0,23,1
2024-10-19 00:00:00+00:00,0,0,21,1
2024-10-20 00:00:00+00:00,6,1,0,0
2024-10-21 00:00:00+00:00,1,1,0,0
2024-10-23 00:00:00+00:00,108,20,254,2
2024-10-24 00:00:00+00:00,0,0,3,2
2024-10-25 00:00:00+00:00,7,3,0,0
2024-10-27 00:00:00+00:00,18,4,0,0
2024-10-28 00:00:00+00:00,1,1,0,0
2024-10-31 00:00:00+00:00,0,0,1,1
